Back to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3.1 - Secondary Enrolment and Gross Enrolment Ratio 1 by sex, Island of Mauritius, Island of Rodrigues & Republic of Mauritius, 1972 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 General ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Island of Mauritius,,,,,,,,,Island of Rodrigues,,,,,,,,,Republic of Mauritius,,,,,,,,,,,,,,,,,
, Enrolment ,,, Population (12 - 19) ,,,Gross Enrolment Ratio,,, Enrolment ,,, Population (12 - 19) ,,,Gross Enrolment Ratio,,, Enrolment ,,, Population (12 - 19) ,,,Gross Enrolment Ratio,,,,,,,,,,,
2006,"111,027","53,451","57,576","156,366","78,996","77,370",71,68,74,"3,630","1,685","1,945","6,325","3,140","3,185",57,54,61,"114,657","55,136","59,521"," 162,691 ","82,136","80,555",70,67,74,,,,,,,,,
2007,"112,981","54,384","58,597","158,474","80,123","78,351",71,68,75,"3,725","1,713","2,012","6,228","3,089","3,139",60,55,64,"116,706","56,097","60,609"," 164,702 ","83,212","81,490",71,67,74,,,,,,,,,
2008,"112,995","54,265","58,730","159,292","80,528","78,764",71,67,75,"3,508","1,608","1,900","6,129","3,036","3,093",57,53,61,"116,503","55,873","60,630"," 165,421 ","83,564","81,857",70,67,74,,,,,,,,,
2009,"112,572","53,696","58,876","158,442","80,087","78,355",71,67,75,"3,654","1,693","1,961","6,031","2,984","3,047",61,57,64,"116,226","55,389","60,837"," 164,473 ","83,071","81,402",71,67,75,,,,,,,,,
2010,"111,418","53,198","58,220","157,011","79,323","77,688",71,67,75,"3,585","1,657","1,928","5,933","2,932","3,001",60,57,64,"115,003","54,855","60,148"," 162,944 ","82,255","80,689",71,67,75,,,,,,,,,
2011,"111,753","53,548","58,205","154,066","77,731","76,335",73,69,76,"3,536","1,640","1,896","5,759","2,836","2,923",61,58,65,"115,289","55,188","60,101"," 159,825 ","80,567","79,258",72,68,76,,,,,,,,,
2012,"111,753","53,568","58,185","152,873","77,159","75,714",73,69,77,"3,924","1,806","2,118","5,930","2,932","2,998",66,62,71,"115,677","55,374","60,303"," 158,803 ","80,091","78,712",73,69,77,,,,,,,,,
2013,"109,868","52,554","57,314","151,694","76,825","74,869",72,68,77,"4,004","1,837","2,167","6,096","3,029","3,067",66,61,71,"113,872","54,391","59,481"," 157,790 ","79,854","77,936",72,68,76,,,,,,,,,
2014,"110,164","52,710","57,454","149,902","76,063","73,839",73,69,78,"4,075","1,880","2,195","6,091","3,008","3,083",67,63,71,"114,239","54,590","59,649"," 155,993 ","79,071","76,922",73,69,78,,,,,,,,,
2015,"109,993","52,680","57,313","149,367","75,793","73,574",74,70,78,"4,318","2,014","2,304","6,149","3,053","3,096",70,66,74,"114,311","54,694","59,617"," 155,516 ","78,846","76,670",74,69,78,,,,,,,,,
2016,"107,263","51,194","56,069","148,836","75,724","73,112",72,68,77,"4,600","2,158","2,442","6,279","3,138","3,141",73,69,78,"111,863","53,352","58,511"," 155,115 ","78,862","76,253",72,68,77,,,,,,,,,
2017,"106,127","50,708","55,419","147,437","75,046","72,391",72,68,77,"4,455","2,099","2,356","6,443","3,235","3,208",69,65,73,"110,582","52,807","57,775"," 153,880 ","78,281","75,599",72,67,76,,,,,,,,,
1 Number of students enrolled per 100 population (12 - 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
